,2222.SR,2222.SR,2222.SR,2222.SR,2222.SR,2222.SR,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,2222.SR,2222.SR,2222.SR,2222.SR
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,SMA20,SD20,BollHIGH,BollLOW,SMA20,SD20,BollHIGH,BollLOW
Date,,,,,,,,,,,,,,,,,,,,
2022-03-22,35.70248031616211,35.70248031616211,35.16529083251953,35.619834899902344,33.89825439453125,11194097.0,165.50999450683594,169.4199981689453,164.91000366210938,168.82000732421875,167.34573364257812,81532000.0,161.44899978637696,4.578695436799718,170.6063906599764,152.29160891277752,34.783057403564456,1.48063177567962,37.744320954923694,31.821793852205218
2022-03-21,36.11570358276367,36.11570358276367,35.28925704956055,35.49586868286133,33.78028106689453,19634980.0,163.50999450683594,166.35000610351562,163.00999450683594,165.3800048828125,163.93576049804688,95811400.0,161.22399978637696,4.299467643397771,169.82293507317252,152.6250644995814,34.62396640777588,1.5550590971954616,37.7340846021668,31.513848213384957
2022-03-20,35.123966217041016,36.28099060058594,35.082645416259766,35.74380111694336,34.0162239074707,27731094.0,,,,,,,,,,,34.407024192810056,1.7208345901890445,37.84869337318815,30.965355012431967
2022-03-18,,,,,,,160.50999450683594,164.47999572753906,159.75999450683594,163.97999572753906,162.54798889160156,123511700.0,161.31999969482422,4.416977628166516,170.15395495115726,152.48604443849118,,,,
2022-03-17,33.76033020019531,34.58677673339844,33.223140716552734,34.58677673339844,32.915122985839844,27495657.0,158.61000061035156,161.0,157.6300048828125,160.6199951171875,159.21734619140625,75615400.0,161.56500015258788,4.699169753371393,170.96333965933067,152.1666606458451,34.17975149154663,1.8315903447506707,37.84293218104797,30.51657080204529
2022-03-16,32.23140335083008,33.88429641723633,32.10743713378906,33.88429641723633,32.2465934753418,23529578.0,157.0500030517578,160.0,154.4600067138672,159.58999633789062,158.1963348388672,102300200.0,162.1615005493164,5.29261019456626,172.74672093844893,151.57628016018387,34.010330009460446,1.9451528218263157,37.90063565311308,30.120024365807815
2022-03-15,32.06611633300781,32.39669418334961,31.818180084228516,32.0247917175293,30.476964950561523,14738124.0,150.89999389648438,155.57000732421875,150.3800048828125,155.08999633789062,153.73562622070312,92964300.0,162.8215003967285,5.757662897283789,174.3368261912961,151.30617460216092,33.85743751525879,2.071644118660982,38.00072575258075,29.714149277936823
2022-03-14,32.89256286621094,33.429752349853516,32.479339599609375,32.479339599609375,30.909543991088867,29155972.0,151.4499969482422,154.1199951171875,150.10000610351562,150.6199951171875,149.3046417236328,108732100.0,163.5110008239746,5.606781906288671,174.72456463655195,152.29743701139725,33.79752025604248,2.1435213513183764,38.084562958679236,29.510477553405728
2022-03-13,33.966941833496094,34.421485900878906,32.97520446777344,33.01652908325195,31.4207706451416,24656964.0,,,,,,,,,,,33.70454502105713,2.2417825142274017,38.188110049511934,29.220979992602324
2022-03-11,,,,,,,158.92999267578125,159.27999877929688,154.5,154.72999572753906,153.37876892089844,96970100.0,164.41200103759766,4.818695138970003,174.04939131553766,154.77461075965766,,,,
2022-03-10,35.20661163330078,35.41322326660156,33.6363639831543,33.966941833496094,32.32524490356445,45446981.0,160.1999969482422,160.38999938964844,155.97999572753906,158.52000427246094,157.1356964111328,105342000.0,165.28150100708007,4.540623513714968,174.36274803451,156.20025397965014,33.59504089355469,2.3289533438314605,38.25294758121761,28.937134205891766
2022-03-09,37.10743713378906,37.14876174926758,35.78512191772461,35.78512191772461,34.055545806884766,16874180.0,161.47999572753906,163.41000366210938,159.41000366210938,162.9499969482422,161.52699279785156,91454900.0,166.16950073242188,4.873160764420058,175.915822261262,156.42317920358175,33.43181772232056,2.414345516889668,38.260508756099895,28.603126688541224
2022-03-08,37.19008255004883,37.355369567871094,35.78512191772461,36.85950469970703,35.078006744384766,29356481.0,158.82000732421875,162.8800048828125,155.8000030517578,157.44000244140625,156.0651092529297,131148300.0,166.7635009765625,5.174779780435469,177.11306053743346,156.41394141569157,33.181817817687985,2.4167090512216207,38.015235920131225,28.348399715244746
2022-03-07,37.60330581665039,38.01652908325195,36.94214630126953,37.0247917175293,35.23530197143555,36091703.0,163.36000061035156,165.02000427246094,159.0399932861328,159.3000030517578,157.9088592529297,96418800.0,167.47450103759766,4.7888371383916395,177.05217531438095,157.89682676081438,32.86983432769775,2.317676602425646,37.505187532549044,28.23448112284646
2022-03-06,37.19008255004883,37.314048767089844,36.6942138671875,36.85950469970703,35.078006744384766,29569318.0,,,,,,,,,,,32.539255905151364,2.160001181290049,36.85925826773146,28.219253542571266
2022-03-04,,,,,,,164.49000549316406,165.5500030517578,162.10000610351562,163.1699981689453,161.7450714111328,83737200.0,168.12900085449218,4.498529397977916,177.126059650448,159.13194205853634,,,,
2022-03-03,35.95041275024414,37.19008255004883,35.909088134765625,36.611568450927734,34.84205627441406,38247268.0,168.47000122070312,168.91000366210938,165.5500030517578,166.22999572753906,164.77835083007812,76678400.0,168.61550064086913,4.45997164419557,177.53544392926028,159.69555735247798,32.22107400894165,1.94844866857102,36.11797134608369,28.32417667179961
2022-03-02,34.380165100097656,35.661155700683594,34.380165100097656,35.57851028442383,33.85892868041992,47862502.0,164.38999938964844,167.36000061035156,162.9499969482422,166.55999755859375,165.10545349121094,79724800.0,169.09600067138672,4.700619741177229,178.4972401537412,159.69476118903225,31.90909061431885,1.6909810341846634,35.291052682688175,28.527128545949523
2022-03-01,34.29751968383789,34.50413131713867,34.132232666015625,34.25619888305664,32.600521087646484,15057987.0,164.6999969482422,166.60000610351562,161.97000122070312,163.1999969482422,161.7748260498047,83474400.0,169.4985008239746,4.815290608019316,179.12908204001323,159.867919607936,31.66942129135132,1.4685967746191193,34.60661484058956,28.732227742113082
2022-02-28,33.88429641723633,34.33884048461914,33.67768478393555,34.33884048461914,32.67917251586914,29778557.0,163.05999755859375,165.4199981689453,162.42999267578125,165.1199951171875,163.67803955078125,95056600.0,170.07750091552734,4.713204835537792,179.50391058660293,160.65109124445175,31.499999713897704,1.3446954376811173,34.189390589259936,28.81060883853547
2022-02-27,34.173553466796875,34.6694221496582,33.34710693359375,33.84297561645508,32.20726776123047,29876642.0,,,,,,,,,,,31.318181610107423,1.1758933319759142,33.66996827405925,28.966394946155596
2022-02-25,,,,,,,163.83999633789062,165.1199951171875,160.8699951171875,164.85000610351562,163.410400390625,91974200.0,170.3380012512207,4.566476132394493,179.4709535160097,161.2050489864317,,,,
2022-02-24,33.34710693359375,34.917354583740234,32.85123825073242,34.173553466796875,32.521873474121094,55009065.0,152.5800018310547,162.85000610351562,152.0,162.74000549316406,161.31884765625,141147500.0,170.05650100708007,5.068521881881768,180.1935447708436,159.91945724331654,31.150826168060302,1.0263178298264222,33.20346182771315,29.09819050840746
2022-02-23,32.43801498413086,33.55371856689453,32.23140335083008,33.51239776611328,31.892675399780273,34867798.0,165.5399932861328,166.14999389648438,159.75,160.07000732421875,158.67214965820312,90009200.0,169.90400085449218,5.3389158531403265,180.58183256077282,159.22616914821154,30.966941833496094,0.7479466622542904,32.46283515800467,29.47104850898751
2022-02-22,,,,,,,164.97999572753906,166.69000244140625,162.14999389648438,164.32000732421875,162.8850555419922,91162800.0,169.8895004272461,5.367348709748023,180.62419784674216,159.15480300775005,,,,
2022-02-21,31.157024383544922,33.223140716552734,31.157024383544922,32.43801498413086,30.870216369628906,48049145.0,,,,,,,,,,,30.80371856689453,0.4664452299499061,31.736609026794344,29.87082810699472
2022-02-20,31.11570167541504,31.32231330871582,31.07438087463379,31.157024383544922,29.651140213012695,6330190.0,,,,,,,,,,,30.68181781768799,0.30879177114023865,31.299401359968467,30.06423427540751
